Country,Latitude,Longitude,EconomicStatus,CoastalPopulation,WasteGenerationRate,PlasticWasteStream,InadequatelyManagedWaste,LitteredWaste,WasteGeneration,PlasticWasteGeneration,PlasticWasteLittered,MismanagedPlasticWaste2010,MismanagedPlasticWaste2025
Panama,9,-81,UMI,3249531,1,12,18,2,3931933,469866,9397,34388,70759
Papua New Guinea,-6,144,LMI,2747514,1,13,86,2,2170536,281084,5622,89835,242328
Peru,-9,-75,UMI,0,1,12,25,2,16518730,1973988,39480,194453,377111
Philippines,13,122,LMI,0,1,15,81,2,41723431,6237653,124753,1883659,5088394
Poland,52,19,UMI,3272933,1,11,12,2,2880181,315380,6308,15703,26855
Portugal,39,-8,HIC,8507951,2,12,0,2,2880181,2246907,44938,16402,19382
Puerto Rico,18,-67,HIC,4249848,2,12,2,2,8924681,1066499,21330,16517,20481
Qatar,25,51,HIC,653007,1,12,0,2,868499,103786,2076,758,1560
Reunion,-21,56,UMI,809426,1,12,0,2,971311,116072,2321,847,1615
Romania,46,25,UMI,875170,1,4,26,2,910177,35952,719,3610,8261
Russia,62,105,UMI,0,1,12,16,2,10055659,1201651,24033,80759,128946
Saint Helena,-24,-10,UMI,6839,1,12,25,2,8207,981,20,96,182
Saint Kitts and Nevis,17,-63,UMI,36102,5,12,6,2,196756,23512,470,715,742
Saint Lucia,14,-61,UMI,163227,4,12,20,2,710037,84849,1697,6709,8610
Saint Pierre,47,-56,HIC,5888,2,12,0,2,12365,1478,30,11,15
Saint Vincent and the Grenadines,13,-61,UMI,120149,2,13,21,2,204253,26451,529,2245,2996
Samoa,-14,-172,LMI,168025,1,13,80,2,132740,17190,344,5122,10989
Sao Tome and Principe,0,7,LMI,163740,1,13,81,2,129355,16751,335,5081,13309
Saudi Arabia,24,45,HIC,3593471,1,12,8,2,4671512,558246,11165,20552,43855
Senegal,15,-14,LMI,8125063,1,13,82,2,6418800,831235,16625,254770,738264
Seychelles,-5,55,UMI,91361,3,12,37,2,272256,32535,651,4619,5478
Sierra Leone,8,-12,LI,2887017,0,9,84,2,1299158,116275,2325,36408,121312
Singapore,1,104,HIC,4492494,1,13,0,2,6693816,866849,17337,6472,10878
Slovenia,46,15,HIC,336594,1,12,1,2,407279,48670,973,556,985
Solomon Islands8,-10,160,LMI,618678,1,13,86,2,488756,63294,1266,20394,176589
Somalia,5,46,LI,5971169,1,9,85,2,3582701,320652,6413,101531,289601
South Africa,-31,23,UMI,0,2,12,54,2,25798402,3082909,61658,630005,836279
Spain,40,-4,HIC,0,2,13,0,2,48503269,6281173,125623,45853,58932
Sri Lanka,8,81,LMI,0,5,7,82,2,74297687,5163689,103274,1591179,1918670
Sudan,13,30,LMI,752529,1,13,80,2,594498,76987,1540,22928,52061
Suriname,4,-56,UMI,402263,1,12,15,2,547078,65376,1308,3942,6394
Svalbard,78,24,LMI,2226,1,13,0,2,1759,228,5,2,4
Sweden,60,19,HIC,6202234,2,3,0,2,9985597,294575,5892,2150,5245
Syria,35,39,LMI,3621997,1,13,65,2,4962136,642597,12852,157904,304960
Taiwan,24,121,HIC,0,2,12,0,2,46644291,5573993,111480,45718,64631
Tanzania,-6,35,LI,6688695,0,9,84,2,1739061,155646,3113,48586,214196
Thailand,16,101,UMI,0,1,12,73,2,31252130,3734630,74693,1027739,2179508
Togo,9,1,LI,1991642,1,11,84,2,1035654,113404,2268,35401,96994
Tokelau,-9,-172,LMI,1379,1,13,82,2,1089,141,3,43,100
Tonga,-21,-175,LMI,102872,4,6,78,2,381655,22708,454,6624,10272
Trinidad and Tobago,11,-61,HIC,1358433,14,25,3,2,19561435,4880578,97612,94066,73512
Tunisia,34,10,UMI,7274973,1,12,60,2,8729968,1043231,20865,234309,440701
Turkey,39,35,UMI,0,2,12,16,2,60255866,7200576,144012,485937,790235
Turks and Caicos Islands,22,-72,HIC,22570,2,12,0,2,47397,5664,113,49,70
Tuvalu,-7,178,UMI,11563,1,12,73,2,13876,1658,33,457,861
Ukraine,48,31,LMI,6812799,1,13,49,2,5382111,696983,13940,128765,233388
United Arab Emirates,23,54,HIC,2018302,2,12,0,2,3350381,400371,8007,3016,5910
United Kingdom,55,-3,HIC,0,2,12,0,2,77433411,9253293,185066,67549,94165
United States,37,-96,HIC,0,3,13,0,2,291346588,37729383,754588,275424,336819
Uruguay,-33,-56,HIC,2433597,2,12,8,2,5110554,610711,12214,21562,8037
Vanuatu,-15,167,LMI,251851,3,9,81,2,826071,73933,1479,22478,38006
Venezuela,6,-67,HIC,0,2,12,5,2,33799284,4039014,80780,102333,154243
Vietnam,14,108,LMI,0,1,13,86,2,44128014,5714578,114292,1833819,4172828
Yemen,16,49,LMI,6048920,1,13,73,2,4778647,618835,12377,169181,513907
,,,,,,,,,,,,0,0
